Receta,Score,Quantity Score,Dificultad,Tiempo Preparación,Tiempo Total,Cantidades,Ingredientes,Nutrición
Flan,4.8,21 valoraciones,fácil,15min,5h 30min,6 porciones,"['80 g de azúcar', '300 g de leche entera', '3 huevos (53-63 g c/u)', '6 - 12 cucharaditas caramelo líquido (ver sugerencia)', '250 g de agua']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '127 kcal / 530 kJ'), ('Proteína', '5 g'), ('Grasa', '5 g'), ('Carbohidratos', '15 g'), ('Fibra', '0 g'), ('Grasas saturadas', '2 g')]"
Yogur natural en Varoma,4.6,5 valoraciones,fácil,10min,12h,8 porciones,"['120 g de yogur natural', '800 g de leche entera', '40 g de azúcar (opcional)', '250 g de agua', '1 cucharadita rasa de ácido ascórbico (vitamina C en polvo)\no bien 30 g de jugo de limón']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '96 kcal / 400 kJ'), ('Proteína', '4 g'), ('Grasa', '4 g'), ('Carbohidratos', '10 g'), ('Fibra', '0 g')]"
Minitostas de falso tartar de tomate,5.0,2 valoraciones,fácil,20min,20min,6 unidades,"['2 tomates grandes (300-400 g)', '200 g de palta', '30 g de cebolla', '¾ de cucharadita de sal', '15 g de jugo de limón', '1 diente de ajo', '60 g de dátiles sin carozo en trozos', '10 g de alcaparras', '1 huevo duro', '20 g de cebolla morada', '20 g de aceite de oliva virgen extra', '25 g de vinagre balsámico', '4 - 8 de biscotes redondos (tostas)\no bien 4 - 8 rebanadas de pan rústico redondos (tostas)', '1 cucharadita de ciboulette picado']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '171 kcal / 717 kJ'), ('Proteína', '3.8 g'), ('Grasa', '9.8 g'), ('Carbohidratos', '17.2 g'), ('Fibra', '2.9 g'), ('Grasas saturadas', '1.9 g'), ('Sodio', '192.1 mg')]"
Valencoctail,5.0,1 valoración,fácil,10min,1h 30min,2 porciones,"['100 g de jugo de naranja recién exprimido', '50 g de jugo de limón', '80 g de azúcar', '25 g de granadina', '2 - 3 ramas de tomillo fresco y un poco más para decorar\no bien 2 - 3 hojas de albahaca fresca', '50 g de granos de granada\no bien 50 g de zumo de granada', '200 g de vino espumante frío', 'granos de granada para decorar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '313.1 kcal / 1309.9 kJ'), ('Proteína', '0.7 g'), ('Grasa', '0.3 g'), ('Carbohidratos', '61.5 g'), ('Fibra', '0.4 g'), ('Grasas saturadas', '0.1 g'), ('Sodio', '11.9 mg')]"
Ensalada de rabanitos y repollo,4.0,1 valoración,fácil,5min,5min,6 porciones,"['500 g de repollo blanco sin el tronco (cortado en trozos regulares)', '100 g de rabanitos limpios sin pelar', '8 ramitas de perejil fresco limpio y seco (solo las hojas)', '20 g de vinagre', '50 g de aceite de oliva', '1 cucharadita de sal', '1 cucharadita de pimienta molida', '1 cucharadita de orégano seco']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '100 kcal / 418 kJ'), ('Proteína', '1.6 g'), ('Grasa', '8.7 g'), ('Carbohidratos', '3.55 g'), ('Fibra', '2.8 g')]"
Ensalada detox,5.0,6 valoraciones,fácil,5min,5min,4 porciones,"['200 g de zanahoria en trozos', '200 g de morrón amarillo en trozos', '200 g de ramilletes de brócoli', '4 ramitas de perejil fresco', '150 g de papaya en trozos', '30 g de semillas de calabaza peladas', '25 g de aceite de oliva', '20 g de jugo de limón', '1 cucharadita de miel', '1 ½ cucharaditas de mostaza de Dijon', '1 cucharadita de sal', '2 pellizcos de pimienta negra molida']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '108 kcal / 452 kJ'), ('Proteína', '4.52 g'), ('Grasa', '4.63 g'), ('Carbohidratos', '11.95 g'), ('Fibra', '4.86 g')]"
Tarta de dulce de leche y crema pastelera,3.8,4 valoraciones,fácil,20min,2h 50min,12 portions,"['60 g de azúcar', '130 g de manteca en trozos', '250 g de harina 0000', '1 yema de huevo', '1 pellizco de sal', '250 g de leche', '25 g de harina 0000\no bien 25 g de almidón de maíz', '1 huevo', '1 yema de huevo', '35 g de azúcar', '1 cucharadita de extracto de vainilla\no bien 1 cucharadita de azúcar de vainilla casero', '250 g de dulce de leche repostero', '100 g de azúcar para espolvorear']","[('Inf. nutricional', 'por 1 portion'), ('Calorías', '317 kcal / 1325 kJ'), ('Proteína', '5 g'), ('Grasa', '12 g'), ('Carbohidratos', '46 g'), ('Fibra', '1 g')]"
Bomba de chocolate,5.0,1 valoración,avanzado,1h,4h,16 porciones,"['4 huevos', '1 pellizco de sal', '120 g de azúcar', '90 g de harina 0000 (y un poco más para espolvorear el molde)', '20 g de cacao puro en polvo', '80 g de mermelada de frambuesas\no bien 80 g de mermelada de frutos rojos', '1 cucharadita de crema montada', 'manteca para engrasar', '60 g de ron\no bien 60 g de brandy', 'azúcar para espolvorear', '300 g de chocolate fondant para postres (50% cacao) en trozos', '200 g de manteca a temperatura ambiente, en trozos', '4 yemas de huevo', '100 g de azúcar', '4 claras de huevo', '1 pellizco de sal', '4 gotas de vinagre']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '375 kcal / 1570 kJ'), ('Proteína', '8 g'), ('Grasa', '26 g'), ('Carbohidratos', '33 g'), ('Fibra', '5 g')]"
Brindis de verano,5.0,1 valoración,fácil,15min,15min,6 copas,"['2 naranjas', '1 limón', '100 g de azúcar', '50 g de licor de naranja', '50 g de brandy', '200 g de cubitos de hielo', '1 durazno en gajos de 1 cm (cortados por la mitad)\no bien 1 durazno en almíbar en gajos de 1 cm (cortados por la mitad)', '4 - 6 frutillas partidas en cuartos\no bien 100 g de frambuesas partidas en cuartos', '750 g de vino espumante\no bien 750 g de champán', '8 - 10 de hojas de menta fresca']","[('Inf. nutricional', 'por 1 copa'), ('Calorías', '272 kcal / 1138 kJ'), ('Proteína', '1 g'), ('Grasa', '0 g'), ('Carbohidratos', '38 g'), ('Fibra', '4 g')]"
"Aceite con tomates secos, romero y tomillo",5.0,1 valoración,fácil,5min,15min,200 g,"['6 tomates secos', '2 ramita de romero fresco', '4 ramitas de tomillo fresco', '250 g de aceite de oliva']","[('Inf. nutricional', 'por 200 g'), ('Calorías', '2247.6 kcal / 9404 kJ'), ('Proteína', '2 g'), ('Grasa', '248 g'), ('Carbohidratos', '8.1 g'), ('Fibra', '2.3 g'), ('Grasas saturadas', '38.6 g'), ('Sodio', '35.5 mg')]"
Tzatziki (dip de yogur y pepino),5.0,1 valoración,fácil,5min,10h 5min,6 portions,"['6 yogures naturales escurridos durante 8-10 horas', '2 pepinos pelados y sin semillas (cortados en 3 trozos)', '1 pellizco de sal', '2 dientes de ajo', '1 rama de menta fresca (solo las hojas)', '2 cucharadas de aceite de oliva', '1 cucharada de vinagre de vino blanco', '1 pellizco de pimienta molida']","[('Inf. nutricional', 'por 1 portion'), ('Calorías', '108 kcal / 452 kJ'), ('Proteína', '5 g'), ('Grasa', '7 g'), ('Carbohidratos', '7 g'), ('Fibra', '0 g')]"
Té con menta y cítricos,5.0,2 valoraciones,fácil,5min,5min,8 vasos,"['1000 g de agua', '3 cucharadas de té verde\no bien 3 cucharadas de té negro', '50 - 80 g de miel a gusto', '25 g de menta fresca (hojas y parte del tallo)', '1 naranja en rodajas de 3 mm', '1 limón en rodajas de 3 mm', '1 lima en rodajas de 3 mm']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '41 kcal / 172 kJ'), ('Proteína', '1 g'), ('Grasa', '0 g'), ('Carbohidratos', '11 g'), ('Fibra', '1 g')]"
Palmeritas de hojaldre,5.0,1 valoración,medio,15min,1h 15min,26 unidades,"['150 g de manteca', '250 g de harina 0000 y un poco más para espolvorear', '125 g de agua helada', '1 cucharadita de sal', '100 g de azúcar']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '126 kcal / 526 kJ'), ('Proteína', '0 g'), ('Grasa', '13 g'), ('Carbohidratos', '4 g'), ('Fibra', '0 g')]"
Cheesecake de dulce de leche,4.5,10 valoraciones,fácil,10min,35min,6 portions,"['20 g de manteca', '80 g de galletitas tipo Chocolinas®', '300 g de queso crema tipo Finlandia®', '200 g de dulce de leche colonial y un poco más para decorar', '30 g de azúcar', '2 huevos', '50 g de crema de leche', '1 cucharadita de fécula de maíz', '1 pellizco de sal', '500 g de agua', '20 g de chocolate amargo para decorar']","[('Inf. nutricional', 'por 1 portion'), ('Calorías', '412 kcal / 1723 kJ'), ('Proteína', '9 g'), ('Grasa', '24 g'), ('Carbohidratos', '40 g'), ('Fibra', '1 g')]"
Cóctel de otoño,5.0,2 valoraciones,fácil,10min,35min,8 vasos,"['½ limón', '1 naranja', '750 g de vino tinto Malbec', '125 g de azúcar', '250 g de azúcar vainillado', '1 palo de canela', '2 anís estrellado', '2 clavos enteros', '1 pellizco de nuez moscada molida']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '276 kcal / 1157 kJ'), ('Proteína', '0 g'), ('Grasa', '0 g'), ('Carbohidratos', '52 g'), ('Fibra', '1 g')]"
Champiñones rellenos,5.0,2 valoraciones,fácil,10min,35min,8 porciones,"['16 champiñones grandes', '3 pellizco de sal', '2 pellizco de pimienta molida', '30 g de queso parmesano', '2 cucharadas de panko', '2 diente de ajo', '3 ramas de perejil fresco (solo las hojas)', '100 g de zucchini con piel, en trozos', '50 g de cebolla', '40 g de morrón rojo', '30 g de zanahoria', '30 g de aceite de oliva', '1 cucharadita de almidón de maíz']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '89 kcal / 372 kJ'), ('Proteína', '3 g'), ('Grasa', '5 g'), ('Carbohidratos', '7 g'), ('Fibra', '1 g')]"
Cóctel de verano,5.0,3 valoraciones,fácil,5min,5min,8 vasos,"['2 limones pelados a vivo (sin nada de piel blanca ni semillas)', '75 g de azúcar', '750 g de vino blanco dulce “Cosecha tardía”', '300 g de cubitos de hielo', '½ pepino en rodajas finas, para decorar']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '122 kcal / 512 kJ'), ('Proteína', '0 g'), ('Grasa', '0 g'), ('Carbohidratos', '17 g'), ('Fibra', '1 g')]"
Triffle de maracuyá,5.0,1 valoración,medio,20min,4h 30min,8 unidades,"['2 claras de huevo', '110 g de azúcar', '50 g de chocolate negro (70% de cacao)', '2 huevos', '2 yemas de huevo', '100 g de azúcar', '200 g de pulpa de maracuyá', '100 g de manteca fría en cubos', '200 g de crema de leche', '100 g de chocolate blanco en trozos', '200 g de queso crema tipo Finlandia®', '80 g de galletitas tipo Chocolinas®', '15 g de Marsala']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '526 kcal / 2203 kJ'), ('Proteína', '8 g'), ('Grasa', '35 g'), ('Carbohidratos', '52 g'), ('Fibra', '3 g')]"
Cóctel de primavera,5.0,1 valoración,fácil,5min,5min,8 vasos,"['30 g de frutilla', '70 g de azúcar', '500 g de cubitos de hielo', '½ lima pelada a vivo (sin nada de la parte blanca ni semillas)', '3 ramitas de menta fresca (y unas hojas más para decorar cada vaso)', '250 g de vodka']","[('Inf. nutricional', 'por 1 vaso'), ('Calorías', '111 kcal / 463 kJ'), ('Proteína', '0 g'), ('Grasa', '0 g'), ('Carbohidratos', '10 g'), ('Fibra', '0 g')]"
Cazuela de papas marineras,5.0,1 valoración,fácil,30min,1h 25min,10 porciones,"['800 g de papas en trozos de 3-4 cm', '2 cucharaditas de sal', '1 cucharadita de pimienta molida', '50 g de aceite de oliva', '100 g de morrón verde en trozos', '100 g de morrón rojo en trozos', '150 g de cebolla en cuartos', '2 dientes de ajo', '150 g de tomate triturado en conserva\no bien 150 g de puré de tomate', '450 g de fumet de pescado o de marisco (se puede sustituir por agua con una cucharada de concentrado de verduras)', '1 - 2 pellizcos de sal', '600 g de abadejo sin piel, ni espinas, en trozos de 4-5 cm', '1 cucharadita de pimienta de Cayena molida', 'perejil fresco picado para decorar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '161 kcal / 675 kJ'), ('Proteína', '9 g'), ('Grasa', '6 g'), ('Carbohidratos', '16 g'), ('Fibra', '3 g')]"
Pan dulce navideño,4.0,6 valoraciones,fácil,25min,1h 40min,6 porciones,"['250 g de leche', '40 g de miel', '25 g de levadura prensada fresca', '2 huevos', '100 g de azúcar', '1 cucharadita de agua de azahar', '600 g de harina 0000', '10 g de sal', '60 g de manteca', '80 g de frutas confitadas variadas', '50 g de frutos secos', '50 g de pasas hidratadas en un destilado', '1 yema de huevo', '300 g de azúcar glas', '50 g de agua', '150 g de fruta escarchada para decorar', '150 g de frutos secos variados para decorar']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '886 kcal / 3707 kJ'), ('Proteína', '18 g'), ('Grasa', '17 g'), ('Carbohidratos', '171 g'), ('Fibra', '6 g')]"
Infusión de limón y jengibre,5.0,1 valoración,fácil,5min,5min,2 porciones,"['4 limones pelados a vivo (sin nada de parte blanca ni semillas)', '50 g de jengibre fresco lavado']","[('Inf. nutricional', 'por 1 porción'), ('Calorías', '76 kcal / 318 kJ'), ('Proteína', '2.5 g'), ('Grasa', '0 g'), ('Carbohidratos', '14.5 g'), ('Fibra', '6.5 g')]"
Brownies de dos colores,5.0,1 valoración,fácil,15min,45min,20 unidades,"['440 g de azúcar', '6 huevos', '240 g de manteca en trozos', '200 g de chocolate amargo en trozos', '300 g de harina 0000', '2 cucharaditas de polvo de hornear', '200 g de chocolate blanco en trozos']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '292 kcal / 1221 kJ'), ('Proteína', '4 g'), ('Grasa', '18 g'), ('Carbohidratos', '44 g'), ('Fibra', '2 g')]"
Tiradito de camarones con pasta de ají amarillo,4.8,6 valoraciones,medio,20min,1h 25min,6 raciones,"['500 g de camarones crudos calibre 36/40, sin cáscara y desvenado', '½ cucharadita de sal', '2 pellizcos de pimienta negra recién molida', '15 g de jugo de limón recién exprimido', '500 g de agua', '300 g de ají amarillo fresco, cortados en cuatro y sin semillas', '3000 g de agua', '40 g de azúcar rubia', '40 g de vinagre de manzana', '50 g de aceite de maravilla', '½ cucharadita de sal', '30 g de jugo de limón recién exprimido', '10 g de aceite de oliva', '½ cucharadita de sal', '2 pellizcos de pimienta negra recién molida', '10 g de hojas de cilantro fresco para decorar']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '206 kcal / 862 kJ'), ('Proteína', '14.9 g'), ('Grasa', '11.2 g'), ('Carbohidratos', '13 g')]"
Empanadas de champiñones,5.0,2 valoraciones,avanzado,40min,2h 10min,18 unidades,"['50 g de vino blanco', '15 g de maicena', '400 g de champiñones ostra', '400 g de champiñones de París', '400 g de cebolla cortada en cuartos', '1 diente de ajo sin la raíz', '35 g de aceite', '25 g de mantequilla', '½ cucharadita de comino molido', '½ cucharadita de orégano', '1 cucharadita de ají de color o paprika', '1 cucharadita de sal', '2 pellizcos de pimienta negra recién molida', '380 g de leche entera', '140 g de mantequilla sin sal cortada en trozos medianos', '35 g de aceite de oliva', '700 g de harina y algo más para espolvorear', '2 yemas', '1 cucharadita de sal', '½ cucharadita de polvo de hornear', '1 huevo', '20 g de leche']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '293 kcal / 1227 kJ'), ('Proteína', '6.8 g'), ('Grasa', '13.9 g'), ('Carbohidratos', '36.2 g')]"
Pan de campo relleno con salsa de queso,5.0,1 valoración,medio,30min,3h 30min,10 raciones,"['330 g de agua', '20 g de levadura prensada fresca\no bien 10 g de levadura seca', '500 g de harina y un poco más para enharinar', '1 ½ cucharadita de sal', '20 g de aceite de oliva', '100 g de cebolla cortada en dos', '20 g de vino blanco', '60 g de mantequilla', '80 g de harina', '300 g de leche', '1 hoja de laurel', '2 pellizcos de sal', '1 pellizco de pimienta negra recién molida', '1 pellizco de nuez moscada molida', '200 g de queso mantecoso cortado en cubos de 2 cm']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '374 kcal / 1566 kJ'), ('Proteína', '13.4 g'), ('Grasa', '14.2 g'), ('Carbohidratos', '47.2 g')]"
Muffins de tomates secos y queso,5.0,2 valoraciones,fácil,5min,35min,12 unidades,"['80 g de tomates deshidratados en aceite', '3 huevos', '80 g de aceite de oliva', '100 g de leche entera', '180 g de harina', '15 g de polvos de hornear', '2 pellizcos de sal', '1 pellizco de pimienta negra recién molida', '¼ cucharadita de romero seco\no bien ½ cucharadita de romero fresco', '100 g de queso feta, cortado en cubos de 0.5 cm']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '170 kcal / 712 kJ'), ('Proteína', '4.8 g'), ('Grasa', '10.7 g'), ('Carbohidratos', '13.4 g')]"
Atún con quinoa y salsa de mango,5.0,2 valoraciones,medio,20min,1h,4 raciones,"['4 filetes de atún de 200 - 250 g cada uno', '1 cucharadita de aceite de sésamo', 'el zeste de un limón', '2 pellizcos de jengibre fresco rallado', '½ cucharadita de sal', '2 pellizcos de pimienta negra recién molida', '75 g de chalotas', '75 g de pimentón rojo cortado en dos', '40 g de vinagre de arroz', '40 g de mantequilla a temperatura ambiente', '150 g de pulpa de mango con azúcar', '1000 g de agua', '1 ½ cucharadita de sal', '200 g de quinoa lavada', '40 g de cranberries deshidratados', '40 g de maní sin sal picado\no bien 40 g de almendras laminadas picado', '20 g de aceite de oliva']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '603 kcal / 2524 kJ'), ('Proteína', '3.7 g'), ('Grasa', '28.1 g'), ('Carbohidratos', '54.1 g')]"
Reineta al vapor con salsa de limón y almendras,5.0,4 valoraciones,fácil,10min,40min,4 raciones,"['10 g de aceite de oliva', '6 - 8 hojas de albahaca fresca', '2 ramitas de perejil fresco solo las hojas', '1 cucharadita de sal', '2 pellizcos de pimienta negra recién molida', '4 - 6 filetes de pescado blanco de 120 - 250 g c/u (PJ: Reineta)', '20 g de aceite de oliva', '1 ramita de perejil fresco solo las hojas', '150 g de cebolla cortada en cuatro', '50 g de vino blanco', '80 g de almendras laminadas tostadas', '200 g de agua', '½ cucharadita de sal', '1 cucharadita de maicena', '20 g de jugo de limón recién exprimido', '20 g de mantequilla']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '405 kcal / 1696 kJ'), ('Proteína', '34.4 g'), ('Grasa', '26.6 g'), ('Carbohidratos', '6.8 g')]"
Arroz caldoso con leche de coco y camarones,4.7,14 valoraciones,fácil,10min,50min,6 raciones,"['1000 g de agua', '2 ½ cucharadita de sal', '20 g de aceite de oliva', '250 g de arroz de grano largo', '300 g de tomates maduros pelados, sin semillas y cortado en cuartos\no bien 300 g de tomates en conserva pelados, sin semillas y cortado en cuartos', '75 g de pimentón rojo en trozos', '100 g de cebolla cortada en dos', '5 g de jengibre fresco pelado', '20 g de aceite de oliva', '1 ½ cucharaditas de sal', '1 pellizco de pimienta negra recién molida', '250 g de leche de coco', '1 cucharadita de concentrado de caldo de verduras casero\no bien 1 pastilla de caldo de verduras (para 0,5 l.)', '200 g de arvejas descongeladas', '200 g de agua', '500 g de camarones pelados, cocidos y sin venas', '½ limón su zeste y su jugo', '10 g de hojas de cilantro fresco para decorar']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '334 kcal / 1397 kJ'), ('Proteína', '19 g'), ('Grasa', '9.1 g'), ('Carbohidratos', '43.7 g')]"
Cantucci de arroz y nuez,5.0,2 valoraciones,medio,20min,1h 20min,50 unidades,"['200 g de arroz integral', '200 g de arroz blanco', '2 huevos', '2 yemas de huevo', '150 g de azúcar blanca', '125 g de azúcar rubia', '10 gotas extracto de vainilla líquido', '¼ cucharadita de polvos de hornear', '¼ cucharadita de bicarbonato de sodio', '175 g de nueces en trozos']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '79 kcal / 331 kJ'), ('Proteína', '1.8 g'), ('Grasa', '2.5 g'), ('Carbohidratos', '12.3 g')]"
